loc,objTSizeLarge,"repoName"
/data/github_go/pattern/newHaveRepos/codeforces-go/leetcode/weekly/115/b/b.go@11:3:11:11,true,codeforces-go
/data/github_go/pattern/newHaveRepos/codeforces-go/leetcode/weekly/133/d/d.go@40:3:40:11,true,codeforces-go
/data/github_go/pattern/newHaveRepos/codeforces-go/leetcode/weekly/270/c/c.go@91:3:91:11,true,codeforces-go
/data/github_go/pattern/newHaveRepos/codeforces-go/leetcode/weekly/405/d/d.go@52:3:52:11,true,codeforces-go
/data/github_go/pattern/newHaveRepos/codeforces-go/main/1100-1199/1106E.go@55:5:55:23,true,codeforces-go
/data/github_go/pattern/newHaveRepos/codeforces-go/main/500-599/547E.go@58:3:58:11,true,codeforces-go
/data/github_go/repos/cri-o/test/nri/plugin.go@437:5:437:23,true,cri-o
/data/github_go/repos/cubefs/blobstore/util/graceful/procmaster.go@95:3:95:51,true,cubefs
/data/github_go/repos/cubefs/depends/tiglabs/raft/storage/storage_memory.go@147:3:147:44,true,cubefs
/data/github_go/repos/cubefs/util/btree/btree.go@249:3:249:48,true,cubefs
/data/github_go/repos/cue/cmd/cue/cmd/common.go@287:3:287:15,true,cue
/data/github_go/repos/cue/cue/ast/walk.go@245:23:245:37,true,cue
/data/github_go/repos/cue/cue/format/format.go@312:52:312:66,true,cue
/data/github_go/repos/d2/d2layouts/d2dagrelayout/layout.go@305:3:305:42,true,d2
/data/github_go/repos/d2/d2layouts/d2dagrelayout/layout.go@346:4:346:12,true,d2
/data/github_go/repos/d2/d2layouts/d2dagrelayout/layout.go@495:3:495:42,true,d2
/data/github_go/repos/d2/d2layouts/d2dagrelayout/layout.go@621:4:621:20,true,d2
/data/github_go/repos/d2/d2layouts/d2dagrelayout/layout.go@684:4:684:20,true,d2
/data/github_go/repos/d2/d2layouts/d2elklayout/layout.go@507:3:507:42,true,d2
/data/github_go/repos/d2/d2layouts/d2grid/layout.go@211:4:211:20,true,d2
/data/github_go/repos/d2/d2layouts/d2sequence/layout.go@53:4:53:20,true,d2
/data/github_go/repos/d2/d2layouts/d2sequence/sequence_diagram.go@80:5:80:21,true,d2
/data/github_go/repos/d2/d2layouts/d2sequence/sequence_diagram.go@128:4:128:20,true,d2
/data/github_go/repos/d2/d2oracle/edit.go@247:6:247:57,true,d2
/data/github_go/repos/d2/d2oracle/edit.go@403:4:403:37,true,d2
/data/github_go/repos/d2/d2oracle/edit.go@442:4:442:39,true,d2
/data/github_go/repos/d2/d2oracle/edit.go@537:8:537:36,true,d2
/data/github_go/repos/d2/d2oracle/edit.go@955:5:955:45,true,d2
/data/github_go/repos/d2/d2oracle/edit.go@960:5:960:31,true,d2
/data/github_go/repos/d2/d2oracle/edit.go@963:5:963:31,true,d2
/data/github_go/repos/d2/d2oracle/edit.go@1399:4:1399:44,true,d2
/data/github_go/repos/d2/d2oracle/edit.go@1733:5:1733:59,true,d2
/data/github_go/repos/d2/d2oracle/edit.go@1916:6:1916:51,true,d2
/data/github_go/repos/d2/d2oracle/edit.go@2535:3:2535:29,true,d2
/data/github_go/repos/d2/d2oracle/edit.go@2536:3:2536:29,true,d2
/data/github_go/repos/d2/d2oracle/get.go@167:3:167:19,true,d2
/data/github_go/repos/dagger/core/pipeline/pipeline.go@65:2:65:10,true,dagger
/data/github_go/repos/dendrite/cmd/dendrite-upgrade-tests/main.go@313:5:313:42,true,dendrite
/data/github_go/repos/dendrite/cmd/dendrite-upgrade-tests/main.go@327:4:327:24,true,dendrite
/data/github_go/repos/dendrite/federationapi/queue/destinationqueue.go@595:2:595:43,true,dendrite
/data/github_go/repos/dendrite/federationapi/queue/destinationqueue.go@596:2:596:43,true,dendrite
/data/github_go/repos/dendrite/syncapi/routing/messages.go@577:3:577:37,true,dendrite
/data/github_go/repos/dendrite/syncapi/streams/stream_pdu.go@340:3:340:45,true,dendrite
/data/github_go/repos/devtron/api/restHandler/AppListingRestHandler.go@230:4:230:37,true,devtron
/data/github_go/repos/devtron/api/restHandler/AppListingRestHandler.go@232:4:232:23,true,devtron
/data/github_go/repos/devtron/api/restHandler/AppListingRestHandler.go@449:4:449:37,true,devtron
/data/github_go/repos/devtron/api/restHandler/AppListingRestHandler.go@451:4:451:23,true,devtron
/data/github_go/repos/devtron/api/restHandler/AppListingRestHandler.go@640:4:640:37,true,devtron
/data/github_go/repos/devtron/api/restHandler/AppListingRestHandler.go@642:4:642:23,true,devtron
/data/github_go/repos/dgraph/dgraph/cmd/bulk/reduce.go@303:5:303:25,true,dgraph
/data/github_go/repos/dgraph/dgraph/cmd/bulk/reduce.go@305:5:305:45,true,dgraph
/data/github_go/repos/dgraph/dgraph/cmd/live/run.go@514:5:514:24,true,dgraph
/data/github_go/repos/dgraph/posting/list.go@1603:2:1603:40,true,dgraph
/data/github_go/repos/dgraph/query/query.go@2582:4:2582:75,true,dgraph
/data/github_go/repos/dgraph/raftwal/wal.go@370:3:370:26,true,dgraph
/data/github_go/repos/dgraph/worker/backup_manifest.go@120:3:120:59,true,dgraph
/data/github_go/repos/discordgo/state.go@798:3:798:61,true,discordgo
/data/github_go/repos/dolt/go/libraries/doltcore/remotestorage/chunk_store.go@635:4:635:30,true,dolt
/data/github_go/repos/dolt/go/store/types/edits/async_sorted_edits.go@233:3:233:19,true,dolt
/data/github_go/repos/dubbo-go/protocol/dubbo3/reflection/serverreflection.go@282:3:282:19,true,dubbo-go
/data/github_go/pattern/newHaveRepos/easegress/pkg/object/statussynccontroller/statussynccontroller.go@309:3:309:47,true,easegress
/data/github_go/repos/elvish/pkg/eval/compile_value.go@42:3:42:27,true,elvish
/data/github_go/repos/elvish/pkg/ui/text.go@120:5:120:19,true,elvish
/data/github_go/repos/elvish/pkg/ui/text_builder.go@24:3:24:11,true,elvish
/data/github_go/pattern/newHaveRepos/encore/cli/daemon/engine/trace/trace.go@69:3:69:47,true,encore
/data/github_go/repos/etcd/client/v3/watch.go@739:3:739:44,true,etcd
/data/github_go/repos/etcd/server/storage/wal/decoder.go@94:3:94:19,true,etcd
/data/github_go/repos/etcd/server/storage/wal/wal.go@873:2:873:28,true,etcd
/data/github_go/repos/external-dns/registry/dynamodb.go@385:4:385:31,true,external-dns
/data/github_go/repos/fabric/common/graph/tree.go@157:2:157:18,true,fabric
/data/github_go/repos/fabric/core/chaincode/lifecycle/custodian.go@98:3:98:35,true,fabric
/data/github_go/repos/fabric/internal/pkg/gateway/endorsement.go@88:4:88:58,true,fabric
/data/github_go/repos/fabric/internal/pkg/gateway/endorsement.go@171:3:171:55,true,fabric
/data/github_go/repos/gameboy.live/driver/static.go@44:3:44:33,true,gameboy.live
/data/github_go/pattern/newHaveRepos/gatus/storage/store/memory/util.go@23:3:23:59,true,gatus
/data/github_go/pattern/newHaveRepos/gatus/storage/store/memory/util.go@30:3:30:55,true,gatus
/data/github_go/pattern/newHaveRepos/gatus/storage/store/memory/util.go@66:5:66:71,true,gatus
/data/github_go/pattern/newHaveRepos/gatus/storage/store/memory/util.go@78:3:78:73,true,gatus
